Stok ismi;Stok bar kodu;
10327 TABAK SERT;8693357320123;88
10336 İNVİTATİON KAYIK TABAK;8693357150133;160
10336 İNVİTATİON SERVİS TABAK BÜYÜK;8600000114084;40
10342 KASE SERT;8693357052703;202
10424 GENERATİON KASE;8693357234642;40
10442 PATİSSERİE SERVİS TABAĞI;8693357171640;220
10467 BÖLMELİ TABAK;8693357228559;148
10473 PATTİSSERİE BÖLMELİ KASE;8693357228573;220
10488 BOĞAZ KÖPRÜSÜ TEPSİ;8693357283893;46
10488 PATİSSERİE KARE TEPSİ;8693357254541;206
10498 PATTİSSERİE OVAL TEPSİ TUĞRA;8693357254558;248
10512 AURORA PASTA TABAĞI 6LI;8693357269095;880
10512 AURORA PASTA TABAĞI 6LI;8693357269101;880
10512 PASTA TABAĞI 4'LÜ;8693357277489;86
10513 AURORA KASE BUYUK TEK;8693357269057;372
10515 KASE AURORA;8693357342125;540
PAŞABAHÇE 10546 AURORA OVAL SERVİS TABAK;8693357371842;358
10547 OVAL SERVİS TABAĞI AURORA;8693357371705;186
10585 HABİTAT EKMEK SEPETİ;8600000114091;56
10596 TOSCANA SERVİS TABAĞI;8693357263772;244
10601 AURORA KASE 6LI;8693357273238;600
10601 KASE SERT GENİŞ;8693357269088;164
10601 KASE SERT GENİŞ;8693357277465;164
PAŞABAHÇE 10611 AURORA KASE OVAL SERT;8693357269071;584
1077895 GLASS4YOU İREM ÇAY BARDAĞI 6LI;8693357275874;188
13034 KANA 1500CC;8693357203525;286
13580 KANA 1500CC;8693357203631;118
13994 VAZO;8693357191075;218
159028 BORCAM KARE 2'Lİ;3283840022976;334
16663 SEPET SICAK KESME;8693357250017;124
24 PRÇ YMK TK;8690947434543;0
24140 CAM RENDE;8693357083905;370
24140 CAM RENDE;8693357265882;370
258120 SFO VAZO;6700000014574;254
3-5-SN PORS.KISA SÜZGEÇLİ KUPA;8691212100644;40
3521 COFFE ESPRESSO CAPPU FINCAN TEK;6700000006456;36
3LU TOPRAKLI ANH PRIZ;8697416308565;52
410006 MİNİ CORNET DONDURMALIK;8693357380332;20
41010 BARBEK BARDAK 3'LÜ MAVİ;8693357364684;154
41010 BARREL BARDAK 3LÜ 240CC;8693357176263;200
41010 BARREL BARDAK 3LÜ 240CC;8693357293168;200
41010 BARREL BARDAK 3LÜ 240CC;8693357307131;200
41010 BARREL BARDAK 3LÜ 240CC;8693357307155;200
41010 BARREL BARDAK 3LÜ 240CC;8693357330887;200
41010 BARREL BARDAK 3LÜ PEMBE;8693357364660;154
41010 BARREL BARDAK MOR;8693357364707;154
41011 CICIN BARDAK 12 Lİ;8693357023710;126
