BARKOD;URUN_ADI;FIYAT
8,69336E+12;10327 TABAK SERT;88
8,69336E+12;10336 ›NV›TAT›ON KAYIK TABAK;160
8,6E+12;10336 ›NV›TAT›ON SERV›S TABAK B‹Y‹K;40
8,69336E+12;10342 KASE SERT;202
8,69336E+12;10424 GENERAT›ON KASE;40
8,69336E+12;10442 PAT›SSER›E SERV›S TABA–I;220
8,69336E+12;10467 B÷LMEL› TABAK;148
8,69336E+12;10473 PATT›SSER›E B÷LMEL› KASE;220
8,69336E+12;10488 BO–AZ K÷PR‹S‹ TEPS›;46
8,69336E+12;10488 PAT›SSER›E KARE TEPS›;206
8,69336E+12;10498 PATT›SSER›E OVAL TEPS› TU–RA;248
8,69336E+12;10512 AURORA PASTA TABA–I 6LI;880
8,69336E+12;10512 AURORA PASTA TABA–I 6LI;880
8,69336E+12;10512 PASTA TABA–I 4'L‹;86
8,69336E+12;10513 AURORA KASE BUYUK TEK;372
8,69336E+12;10515 KASE AURORA;540
8,69336E+12;PAﬁABAH«E 10546 AURORA OVAL SERV›S TABAK;358
8,69336E+12;10547 OVAL SERV›S TABA–I AURORA;186
8,6E+12;10585 HAB›TAT EKMEK SEPET›;56
8,69336E+12;10596 TOSCANA SERV›S TABA–I;244
8,69336E+12;10601 AURORA KASE 6LI;600
8,69336E+12;10601 KASE SERT GEN›ﬁ;164
8,69336E+12;10601 KASE SERT GEN›ﬁ;164
8,69336E+12;PAﬁABAH«E 10611 AURORA KASE OVAL SERT;584
8,69336E+12;1077895 GLASS4YOU ›REM «AY BARDA–I 6LI;188
8,69336E+12;13034 KANA 1500CC;286
8,69336E+12;13580 KANA 1500CC;118
8,69336E+12;13994 VAZO;218
3,28384E+12;159028 BORCAM KARE 2'L›;334
8,69336E+12;16663 SEPET SICAK KESME;124
8,69095E+12;24 PR« YMK TK;0
8,69336E+12;24140 CAM RENDE;370
8,69336E+12;24140 CAM RENDE;370
6,7E+12;258120 SFO VAZO;254
8,69121E+12;3-5-SN PORS.KISA S‹ZGE«L› KUPA;40
6,7E+12;3521 COFFE ESPRESSO CAPPU FINCAN TEK;36
8,69742E+12;3LU TOPRAKLI ANH PRIZ;52
8,69336E+12;410006 M›N› CORNET DONDURMALIK;20
8,69336E+12;41010 BARBEK BARDAK 3'L‹ MAV›;154
8,69336E+12;41010 BARREL BARDAK 3L‹ 240CC;200
8,69336E+12;41010 BARREL BARDAK 3L‹ 240CC;200
8,69336E+12;41010 BARREL BARDAK 3L‹ 240CC;200
8,69336E+12;41010 BARREL BARDAK 3L‹ 240CC;200
8,69336E+12;41010 BARREL BARDAK 3L‹ 240CC;200
8,69336E+12;41010 BARREL BARDAK 3L‹ PEMBE;154
8,69336E+12;41010 BARREL BARDAK MOR;154
8,69336E+12;41011 CICIN BARDAK 12 L›;126
8,69336E+12;41020 BARREL BARDAK 3L‹ 500CC;478
8,69336E+12;41020 BARREL BARDAK 3L‹ 500CC;478
8,69336E+12;41020 BARREL BARDAK 3L‹ 500CC;478
8,69336E+12;41020 BARREL BARDAK 3L‹ 500CC;478
8,69336E+12;41020 BARREL BARDAK 3L‹ 500CC;478
8,69336E+12;41020 BARREL BARDAK 3L‹ 500CC TURKUAZ;180
8,69336E+12;41020 BARREL BARDAK 3L‹ MOR;40
8,69336E+12;41020 BARREL BARDAK PEMBE;180
8,69336E+12;41300 BARDAK PEMBE;40
8,69336E+12;41536 ALLEGRA BARDAK 3L‹;232
8,69336E+12;41536 ALLEGRA BARDAK 3L‹;232
8,69336E+12;41536 SU BARDA–I 3'L‹;174
8,69336E+12;420016 HEYBEL› BARDAK 6LI;432
8,69336E+12;42011 «AY BARDA–I 6'LI;106
8,69336E+12;42021-0 «AY BARDA–I 12'L›;234
8,69336E+12;42040 LYRIC BARDAK 6LI;60
8,69336E+12;420405 L›NKA BARDAK 3L‹ MOR;222
8,69336E+12;420405 L›NKA BARDAK 3L‹ MOR;222
8,69336E+12;420405 L›NKA BARDAK 3L‹ MOR;222
8,69336E+12;420405 L›NKA BARDAK 3L‹ MOR;222
8,69336E+12;420405 L›NKA BARDAK 3L‹ PEMBE;222
8,69336E+12;420405 L›NKA BARDAK 3L‹ PEMBE;222
8,69336E+12;420405 L›NKA BARDAK 3L‹ PEMBE;222
8,69336E+12;420405 L›NKA BARDAK 3L‹ PEMBE;222
8,69336E+12;420405 L›NKA BARDAK 3L‹ PEMBE;222
8,69336E+12;420405 L›NKA BARDAK 6LI 380CC;500
8,69336E+12;420405 L›NKA BARDAK 6LI 380CC;500
8,69336E+12;420405 L›NKA BARDAK TURKUAZ;114
8,69336E+12;420415 L›NKA BARDAK 6LI 500CC;580
8,69336E+12;420415 L›NKA BARDAK 3L‹;222
8,69336E+12;420415 L›NKA BARDAK 3L‹;222
8,69336E+12;420415 L›NKA BARDAK 3L‹;222
8,69336E+12;420415 L›NKA BARDAK PEMBE;52
8,69336E+12;420415 L›NKA BARDAK TURKUAZ;52
3,28384E+12;42191 OPT›KL›&D‹Z CAY BARDAK 6'LI;86
8,69336E+12;42281 «AY BARDA–I;18
8,69336E+12;PAﬁABAH«E 42361 HEYBELI CAY BARDAGI 6LI;250
6,7E+12;42381 «AY BARDA–I ›NCE BELLI 125CC41/4OZ;40
8,69336E+12;42381 «AY BARDA–I ›NCE BELL› 6LI 125CC;234
6,7E+12;42381 «AY BARDA–I KESME 6'LI;134
6,7E+12;42381 ›NCE BELL› «AY BARDA–I SADE 6 LI;40
6,7E+12;42411 «AY BARDA–I SADE SYLVANA;50
8,69336E+12;42451 ›REM «AY BARDAK 6LI;188
8,69336E+12;42451 ›REM «AY BARDAK 6LI;188
8,69336E+12;42461 MISI G4U «AY BARDAK 6LI;164
8,69336E+12;42471 AURORA CAY BARDAGI 6LI;306
8,69336E+12;42471 AURORA CAY BARDAGI 6LI;306
8,69336E+12;42601 NATURAL «AY BARDA–I 6'LI;174
8,69336E+12;42611 GALATA CAY BARDAK 6LI;304
8,69336E+12;42661 «AY BARDA–I;370
8,69336E+12;42665 METAL KULPLU BARDAK 2'L›;256
8,69336E+12;42665 METAL KULPLU BARDAK 2'L›;256
8,69336E+12;42665 METAL KULPLU BARDAK 2'L›;256
8,69336E+12;42781 INCE BELLI CAY BARDAK OPTIKLI;240
6,7E+12;42877 ›ZM›R BARDAK 6LI;36
8,69336E+12;43018 AREL S‹RAH› DESENL›;312
8,69336E+12;43018 AREL S‹RAH› DESENL›;312
8,69336E+12;43274 S‹RAH› ﬁEFFAF;264
8,69336E+12;43326 BOTANICA VAZO;256
8,69336E+12;43406 BOTAN›CA VAZO;190
8,69336E+12;43497 BOTANICA VAZO;376
8,69336E+12;43544 LUNA S‹RAH›;316
8,69336E+12;43544 S‹RAH› MOR&YEﬁ›L&PEMBE;304
8,69336E+12;43544 S‹RAH› MOR&YEﬁ›L&PEMBE;304
8,69336E+12;43544 S‹RAH› MOR&YEﬁ›L&PEMBE;304
8,69336E+12;43624 KARAF S‹RAH›;40
8,69336E+12;43654 GORDION SURAHI;354
8,69336E+12;43674 SPACE KANA SURAHI;234
8,69336E+12;43674 SPACE KANA SURAHI;234
8,69336E+12;43726 BOTAN›CA VAZO;486
8,69336E+12;43797 BOTAN›CA VAZO;40
8,68004E+12;43804 L›MONATA BASKILI ﬁ›ﬁE BARDAK;26
8,69336E+12;43934 BISTRO ﬁEFFAF KAPAKLI SURAHI;300
8,69336E+12;43934 KANA SURAHI DESENLI;154
8,69336E+12;43966 VAZO FLORA;290
8,69336E+12;43984 HABITAT SURAHI;324
8,69336E+12;43996 BOTANICA VAZO;88
8,6E+12;440040 V›CTOR›A BARDAK 6'LI;700
8,69336E+12;440040 V›CTOR›A BARDAK 6'LI;700
8,69336E+12;440113 DIAMOND KADEH 6LI;702
8,69336E+12;440186 DIAMOND KADEH 6LI;610
8,69336E+12;440221 GALA AYAKLI CAY BARDAGI;332
8,69336E+12;440221 GALA AYAKLI CAY BARDAGI;332
8,69336E+12;440410 DONDURMALIK 2LI;128
8,69336E+12;440469 BARDAK SOPHIA OPTICS 3LU;52
8,69336E+12;440479 BARDAK SOPHIA OPTICS 3L‹;52
8,69336E+12;44134 B›STRO KADEH 6LI;375
8,69336E+12;44411 BISTRO KADEH 6'LI;410
8,69336E+12;44411 BISTRO KADEH 6'LI;410
8,69336E+12;44417 BISTRO BARDAK 6'LI;396
8,69336E+12;44419 BISTRO BARDAK 3'L‹;18
8,69336E+12;44757 BARDAK KADEH MAV› 3'L‹;344
8,69336E+12;44757 BARDAK KADEH YEﬁ›L 3'L‹;344
8,69336E+12;44767 BARDAK KADEH MAV› 3'L‹;398
8,69336E+12;44767 BARDAK KADEH MOR 3'L‹;162
8,69336E+12;44777 DIAMOND 6LI BARDAK;785
8,69336E+12;51418 DONDURMALIK;248
8,69336E+12;51628 ICEVILLE DONDURMALIK 2L›;46
8,69336E+12;51638 WORKSHOP DONDURMALIK 2LI;52
8,69336E+12;51638 WORKSHOP DONDURMALIK 2LI;52
8,69336E+12;52052 PAﬁABAH«E SU BARDA–I ALANYA;158
8,69336E+12;52082 RAYAN BARDAK 6'LI;174
8,69336E+12;52138 ALANYA BARDAK;265
8,68004E+12;52291 KAHVE KEYFI SADE;166
8,68004E+12;52291 KAHVE MOLASI;40
8,69336E+12;52291 KAHVE SU BARDAGI;166
8,69336E+12;52291 KAHVE SU BARDAGI;166
8,69336E+12;52310 BARDAK TURKUAZ 6LI;50
8,69336E+12;52400 D›AMOND BARDAK 6LI;354
8,69336E+12;52400 D›AMOND BARDAK 6LI;354
8,69336E+12;52400 D›AMOND BARDAK 6LI;354
8,69336E+12;52400 D›AMOND BARDAK 6LI;354
8,69336E+12;52500 BARDAK WORK SHOP 6LI;50
8,69336E+12;52500 BARDAK WORK SHOP 6LI;50
8,69336E+12;52500 BARDAK WORK SHOP 6LI;50
8067815391;52703 CASABLANCA BARDAK;0
8,69336E+12;52767 HELEZON 3LU BARDAK 500CC;28
8,69336E+12;52988 D›AMOND BARDAK 6LI;470
6,7E+12;53142 C›TY KASE TEKL›;10
8,69336E+12;53653 KASE;484
8,69336E+12;53682 TOK›O K‹«‹K KASE 6'LI;44
8,69336E+12;53763 KASE VENEZ›A;60
21602538081;53808 QUADRO S‹RAH› 1,3L;30
8,69336E+12;53903 TOSCANA KASE;60
8,69336E+12;54036 B›STRO KULLUK 2'L› SADE;128
8,69336E+12;54036 B›STRO KULLUK 2'L› SADE;128
8,69336E+12;54076 K÷ﬁEM COLORA K‹LL‹K 2'L›;165
8,69336E+12;54076 K÷ﬁEM COLORA K‹LL‹K 2'L›;165
8,69336E+12;54156 KULLUK OVAL 2LI;226
8,69336E+12;54201 CAY TABAK 6'LI;0
8,69336E+12;54251 A›DA «AY TABA–I 6LI;292
8,69336E+12;54251 A›DA «AY TABA–I 6LI;292
8,69336E+12;54261 KARE «AY TABA–I;40
8,69336E+12;54281 CAY TABAGI 6LI;292
8,69336E+12;54321 CAY TABAGI KARE;306
