barkod,adi,fiyat
8693360000000,10327 TABAK SERT,88.0
8693360000000,10336 İNVİTATİON KAYIK TABAK,160.0
8600000000000,10336 İNVİTATİON SERVİS TABAK BÜYÜK,40.0
8693360000000,10342 KASE SERT,202.0
8693360000000,10424 GENERATİON KASE,40.0
8693360000000,10442 PATİSSERİE SERVİS TABAĞI,220.0
8693360000000,10467 BÖLMELİ TABAK,148.0
8693360000000,10473 PATTİSSERİE BÖLMELİ KASE,220.0
8693360000000,10488 BOĞAZ KÖPRÜSÜ TEPSİ,46.0
8693360000000,10488 PATİSSERİE KARE TEPSİ,206.0
8693360000000,10498 PATTİSSERİE OVAL TEPSİ TUĞRA,248.0
8693360000000,10512 AURORA PASTA TABAĞI 6LI,880.0
8693360000000,10512 AURORA PASTA TABAĞI 6LI,880.0
8693360000000,10512 PASTA TABAĞI 4'LÜ,86.0
8693360000000,10513 AURORA KASE BUYUK TEK,372.0
8693360000000,10515 KASE AURORA,540.0
8693360000000,PAŞABAHÇE 10546 AURORA OVAL SERVİS TABAK,358.0
8693360000000,10547 OVAL SERVİS TABAĞI AURORA,186.0
8600000000000,10585 HABİTAT EKMEK SEPETİ,56.0
8693360000000,10596 TOSCANA SERVİS TABAĞI,244.0
8693360000000,10601 AURORA KASE 6LI,600.0
8693360000000,10601 KASE SERT GENİŞ,164.0
8693360000000,10601 KASE SERT GENİŞ,164.0
8693360000000,PAŞABAHÇE 10611 AURORA KASE OVAL SERT,584.0
8693360000000,1077895 GLASS4YOU İREM ÇAY BARDAĞI 6LI,188.0
8693360000000,13034 KANA 1500CC,286.0
8693360000000,13580 KANA 1500CC,118.0
8693360000000,13994 VAZO,218.0
3283840000000,159028 BORCAM KARE 2'Lİ,334.0
8693360000000,16663 SEPET SICAK KESME,124.0
8690950000000,24 PRÇ YMK TK,0.0
8693360000000,24140 CAM RENDE,370.0
8693360000000,24140 CAM RENDE,370.0
6700000000000,258120 SFO VAZO,254.0
8691210000000,3-5-SN PORS.KISA SÜZGEÇLİ KUPA,40.0
6700000000000,3521 COFFE ESPRESSO CAPPU FINCAN TEK,36.0
8697420000000,3LU TOPRAKLI ANH PRIZ,52.0
8693360000000,410006 MİNİ CORNET DONDURMALIK,20.0
8693360000000,41010 BARBEK BARDAK 3'LÜ MAVİ,154.0
8693360000000,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693360000000,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693360000000,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693360000000,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693360000000,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693360000000,41010 BARREL BARDAK 3LÜ PEMBE,154.0
8693360000000,41010 BARREL BARDAK MOR,154.0
8693360000000,41011 CICIN BARDAK 12 Lİ,126.0
8693360000000,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693360000000,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693360000000,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693360000000,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693360000000,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693360000000,41020 BARREL BARDAK 3LÜ 500CC TURKUAZ,180.0
8693360000000,41020 BARREL BARDAK 3LÜ MOR,40.0
8693360000000,41020 BARREL BARDAK PEMBE,180.0
8693360000000,41300 BARDAK PEMBE,40.0
8693360000000,41536 ALLEGRA BARDAK 3LÜ,232.0
8693360000000,41536 ALLEGRA BARDAK 3LÜ,232.0
8693360000000,41536 SU BARDAĞI 3'LÜ,174.0
8693360000000,420016 HEYBELİ BARDAK 6LI,432.0
8693360000000,42011 ÇAY BARDAĞI 6'LI,106.0
8693360000000,42021-0 ÇAY BARDAĞI 12'Lİ,234.0
8693360000000,42040 LYRIC BARDAK 6LI,60.0
8693360000000,420405 LİNKA BARDAK 3LÜ MOR,222.0
8693360000000,420405 LİNKA BARDAK 3LÜ MOR,222.0
8693360000000,420405 LİNKA BARDAK 3LÜ MOR,222.0
8693360000000,420405 LİNKA BARDAK 3LÜ MOR,222.0
8693360000000,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693360000000,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693360000000,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693360000000,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693360000000,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693360000000,420405 LİNKA BARDAK 6LI 380CC,500.0
8693360000000,420405 LİNKA BARDAK 6LI 380CC,500.0
8693360000000,420405 LİNKA BARDAK TURKUAZ,114.0
8693360000000,420415 LİNKA BARDAK 6LI 500CC,580.0
8693360000000,420415 LİNKA BARDAK 3LÜ,222.0
8693360000000,420415 LİNKA BARDAK 3LÜ,222.0
8693360000000,420415 LİNKA BARDAK 3LÜ,222.0
8693360000000,420415 LİNKA BARDAK PEMBE,52.0
8693360000000,420415 LİNKA BARDAK TURKUAZ,52.0
3283840000000,42191 OPTİKLİ&DÜZ CAY BARDAK 6'LI,86.0
8693360000000,42281 ÇAY BARDAĞI,18.0
8693360000000,PAŞABAHÇE 42361 HEYBELI CAY BARDAGI 6LI,250.0
6700000000000,42381 ÇAY BARDAĞI İNCE BELLI 125CC41/4OZ,40.0
8693360000000,42381 ÇAY BARDAĞI İNCE BELLİ 6LI 125CC,234.0
6700000000000,42381 ÇAY BARDAĞI KESME 6'LI,134.0
6700000000000,42381 İNCE BELLİ ÇAY BARDAĞI SADE 6 LI,40.0
6700000000000,42411 ÇAY BARDAĞI SADE SYLVANA,50.0
8693360000000,42451 İREM ÇAY BARDAK 6LI,188.0
8693360000000,42451 İREM ÇAY BARDAK 6LI,188.0
8693360000000,42461 MISI G4U ÇAY BARDAK 6LI,164.0
8693360000000,42471 AURORA CAY BARDAGI 6LI,306.0
8693360000000,42471 AURORA CAY BARDAGI 6LI,306.0
8693360000000,42601 NATURAL ÇAY BARDAĞI 6'LI,174.0
8693360000000,42611 GALATA CAY BARDAK 6LI,304.0
8693360000000,42661 ÇAY BARDAĞI,370.0
8693360000000,42665 METAL KULPLU BARDAK 2'Lİ,256.0
8693360000000,42665 METAL KULPLU BARDAK 2'Lİ,256.0
8693360000000,42665 METAL KULPLU BARDAK 2'Lİ,256.0
8693360000000,42781 INCE BELLI CAY BARDAK OPTIKLI,240.0
6700000000000,42877 İZMİR BARDAK 6LI,36.0
8693360000000,43018 AREL SÜRAHİ DESENLİ,312.0
8693360000000,43018 AREL SÜRAHİ DESENLİ,312.0
8693360000000,43274 SÜRAHİ ŞEFFAF,264.0
8693360000000,43326 BOTANICA VAZO,256.0
8693360000000,43406 BOTANİCA VAZO,190.0
8693360000000,43497 BOTANICA VAZO,376.0
8693360000000,43544 LUNA SÜRAHİ,316.0
8693360000000,43544 SÜRAHİ MOR&YEŞİL&PEMBE,304.0
8693360000000,43544 SÜRAHİ MOR&YEŞİL&PEMBE,304.0
8693360000000,43544 SÜRAHİ MOR&YEŞİL&PEMBE,304.0
8693360000000,43624 KARAF SÜRAHİ,40.0
8693360000000,43654 GORDION SURAHI,354.0
8693360000000,43674 SPACE KANA SURAHI,234.0
8693360000000,43674 SPACE KANA SURAHI,234.0
8693360000000,43726 BOTANİCA VAZO,486.0
8693360000000,43797 BOTANİCA VAZO,40.0
8680040000000,43804 LİMONATA BASKILI ŞİŞE BARDAK,26.0
8693360000000,43934 BISTRO ŞEFFAF KAPAKLI SURAHI,300.0
8693360000000,43934 KANA SURAHI DESENLI,154.0
8693360000000,43966 VAZO FLORA,290.0
8693360000000,43984 HABITAT SURAHI,324.0
8693360000000,43996 BOTANICA VAZO,88.0
8600000000000,440040 VİCTORİA BARDAK 6'LI,700.0
8693360000000,440040 VİCTORİA BARDAK 6'LI,700.0
8693360000000,440113 DIAMOND KADEH 6LI,702.0
8693360000000,440186 DIAMOND KADEH 6LI,610.0
8693360000000,440221 GALA AYAKLI CAY BARDAGI,332.0
8693360000000,440221 GALA AYAKLI CAY BARDAGI,332.0
8693360000000,440410 DONDURMALIK 2LI,128.0
8693360000000,440469 BARDAK SOPHIA OPTICS 3LU,52.0
8693360000000,440479 BARDAK SOPHIA OPTICS 3LÜ,52.0
8693360000000,44134 BİSTRO KADEH 6LI,375.0
8693360000000,44411 BISTRO KADEH 6'LI,410.0
8693360000000,44411 BISTRO KADEH 6'LI,410.0
8693360000000,44417 BISTRO BARDAK 6'LI,396.0
8693360000000,44419 BISTRO BARDAK 3'LÜ,18.0
8693360000000,44757 BARDAK KADEH MAVİ 3'LÜ,344.0
8693360000000,44757 BARDAK KADEH YEŞİL 3'LÜ,344.0
8693360000000,44767 BARDAK KADEH MAVİ 3'LÜ,398.0
8693360000000,44767 BARDAK KADEH MOR 3'LÜ,162.0
8693360000000,44777 DIAMOND 6LI BARDAK,785.0
8693360000000,51418 DONDURMALIK,248.0
8693360000000,51628 ICEVILLE DONDURMALIK 2Lİ,46.0
8693360000000,51638 WORKSHOP DONDURMALIK 2LI,52.0
8693360000000,51638 WORKSHOP DONDURMALIK 2LI,52.0
8693360000000,52052 PAŞABAHÇE SU BARDAĞI ALANYA,158.0
8693360000000,52082 RAYAN BARDAK 6'LI,174.0
8693360000000,52138 ALANYA BARDAK,265.0
8680040000000,52291 KAHVE KEYFI SADE,166.0
8680040000000,52291 KAHVE MOLASI,40.0
8693360000000,52291 KAHVE SU BARDAGI,166.0
8693360000000,52291 KAHVE SU BARDAGI,166.0
8693360000000,52310 BARDAK TURKUAZ 6LI,50.0
8693360000000,52400 DİAMOND BARDAK 6LI,354.0
8693360000000,52400 DİAMOND BARDAK 6LI,354.0
8693360000000,52400 DİAMOND BARDAK 6LI,354.0
8693360000000,52400 DİAMOND BARDAK 6LI,354.0
8693360000000,52500 BARDAK WORK SHOP 6LI,50.0
8693360000000,52500 BARDAK WORK SHOP 6LI,50.0
8693360000000,52500 BARDAK WORK SHOP 6LI,50.0
8067815391,52703 CASABLANCA BARDAK,0.0
8693360000000,52767 HELEZON 3LU BARDAK 500CC,28.0
8693360000000,52988 DİAMOND BARDAK 6LI,470.0
6700000000000,53142 CİTY KASE TEKLİ,10.0
8693360000000,53653 KASE,484.0
8693360000000,53682 TOKİO KÜÇÜK KASE 6'LI,44.0
8693360000000,53763 KASE VENEZİA,60.0
21602538081,"53808 QUADRO SÜRAHİ 1,3L",30.0
8693360000000,53903 TOSCANA KASE,60.0
8693360000000,54036 BİSTRO KULLUK 2'Lİ SADE,128.0
8693360000000,54036 BİSTRO KULLUK 2'Lİ SADE,128.0
8693360000000,54076 KÖŞEM COLORA KÜLLÜK 2'Lİ,165.0
8693360000000,54076 KÖŞEM COLORA KÜLLÜK 2'Lİ,165.0
8693360000000,54156 KULLUK OVAL 2LI,226.0
8693360000000,54201 CAY TABAK 6'LI,0.0
8693360000000,54251 AİDA ÇAY TABAĞI 6LI,292.0
8693360000000,54251 AİDA ÇAY TABAĞI 6LI,292.0
8693360000000,54261 KARE ÇAY TABAĞI,40.0
8693360000000,54281 CAY TABAGI 6LI,292.0
8693360000000,54321 CAY TABAGI KARE,306.0
8693360000000,54391 HEYBELİ ÇAY TABAĞI 6'LI,342.0
8693360000000,54391 HEYBELİ ÇAY TABAĞI 6'LI,342.0
8693360000000,54411 CAY TABAGI 6LI,174.0
8693360000000,54411 CAY TABAĞI 12Lİ,28.0
8693360000000,55029 KULPLU BARDAK 2LI,20.0
8693360000000,55039 KULPLU BARDK PUB 2'Lİ,475.0
8693360000000,55062 ÖLÇÜ KABI,38.0
8693360000000,55083 DIAMOND BARDAK 2Lİ,224.0
8693360000000,55102 FESTİVAL KANA,66.0
8693360000000,55172 ÖLÇÜ KABI,254.0
8693360000000,55182 VARIO COK AMACLI KASE 4LU,438.0
8693360000000,55192 KULPLU BARDAK,30.0
8693360000000,55233 CHROMA KULPLU BARDAK 2'Lİ,36.0
8693360000000,55373 DEM KULPLA CAY BARDAGI,518.0
8693360000000,55373 DEM KULPLA CAY BARDAGI,518.0
8693360000000,55383 AYRAN BARDAK 2'Lİ,264.0
8693360000000,55411 KEYIF KUPLU CAY BARDAGI 6LI,360.0
8693360000000,55671 KULPLU BARDAK TELESKOPİK,492.0
8693360000000,55871 BARDAK KULPLU TELOSKOBİK,492.0
8693360000000,59006 PAŞABAHÇE BORCAM KAPAKLI,434.0
8693360000000,59010 BORCAM KAPAKLI TENCERE 2.8LT,618.0
8693360000000,59034 PAŞABAHÇE BORCAM KAPAKLI,434.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59062 BORCAM OVAL TENCERE KAPAKLI,236.0
8693360000000,59534 BORCAM YUVARLAK IZGARA TABAN,332.0
8693360000000,59554  BORCAM DIKTORGEN IIZGARA,584.0
8693360000000,59564 LOCK&STORE SAKLAMA KABI,210.0
