BARKOD,ADI,FIYAT
8693357320123,10327 TABAK SERT,88.0
8693357150133,10336 İNVİTATİON KAYIK TABAK,160.0
8600000114084,10336 İNVİTATİON SERVİS TABAK BÜYÜK,40.0
8693357052703,10342 KASE SERT,202.0
8693357234642,10424 GENERATİON KASE,40.0
8693357171640,10442 PATİSSERİE SERVİS TABAĞI,220.0
8693357228559,10467 BÖLMELİ TABAK,148.0
8693357228573,10473 PATTİSSERİE BÖLMELİ KASE,220.0
8693357283893,10488 BOĞAZ KÖPRÜSÜ TEPSİ,46.0
8693357254541,10488 PATİSSERİE KARE TEPSİ,206.0
8693357254558,10498 PATTİSSERİE OVAL TEPSİ TUĞRA,248.0
8693357269095,10512 AURORA PASTA TABAĞI 6LI,880.0
8693357269101,10512 AURORA PASTA TABAĞI 6LI,880.0
8693357277489,10512 PASTA TABAĞI 4'LÜ,86.0
8693357269057,10513 AURORA KASE BUYUK TEK,372.0
8693357342125,10515 KASE AURORA,540.0
8693357371842,PAŞABAHÇE 10546 AURORA OVAL SERVİS TABAK,358.0
8693357371705,10547 OVAL SERVİS TABAĞI AURORA,186.0
8600000114091,10585 HABİTAT EKMEK SEPETİ,56.0
8693357263772,10596 TOSCANA SERVİS TABAĞI,244.0
8693357273238,10601 AURORA KASE 6LI,600.0
8693357269088,10601 KASE SERT GENİŞ,164.0
8693357277465,10601 KASE SERT GENİŞ,164.0
8693357269071,PAŞABAHÇE 10611 AURORA KASE OVAL SERT,584.0
8693357275874,1077895 GLASS4YOU İREM ÇAY BARDAĞI 6LI,188.0
8693357203525,13034 KANA 1500CC,286.0
8693357203631,13580 KANA 1500CC,118.0
8693357191075,13994 VAZO,218.0
3283840022976,159028 BORCAM KARE 2'Lİ,334.0
8693357250017,16663 SEPET SICAK KESME,124.0
8690947434543,24 PRÇ YMK TK,0.0
8693357083905,24140 CAM RENDE,370.0
8693357265882,24140 CAM RENDE,370.0
6700000014574,258120 SFO VAZO,254.0
8691212100644,3-5-SN PORS.KISA SÜZGEÇLİ KUPA,40.0
6700000006456,3521 COFFE ESPRESSO CAPPU FINCAN TEK,36.0
8697416308565,3LU TOPRAKLI ANH PRIZ,52.0
8693357380332,410006 MİNİ CORNET DONDURMALIK,20.0
8693357364684,41010 BARBEK BARDAK 3'LÜ MAVİ,154.0
8693357176263,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693357293168,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693357307131,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693357307155,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693357330887,41010 BARREL BARDAK 3LÜ 240CC,200.0
8693357364660,41010 BARREL BARDAK 3LÜ PEMBE,154.0
8693357364707,41010 BARREL BARDAK MOR,154.0
8693357023710,41011 CICIN BARDAK 12 Lİ,126.0
8693357176287,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693357305649,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693357307179,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693357307193,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693357330900,41020 BARREL BARDAK 3LÜ 500CC,478.0
8693357364622,41020 BARREL BARDAK 3LÜ 500CC TURKUAZ,180.0
8693357292642,41020 BARREL BARDAK 3LÜ MOR,40.0
8693357364608,41020 BARREL BARDAK PEMBE,180.0
8693357173910,41300 BARDAK PEMBE,40.0
8693357221932,41536 ALLEGRA BARDAK 3LÜ,232.0
8693357364509,41536 ALLEGRA BARDAK 3LÜ,232.0
8693357364486,41536 SU BARDAĞI 3'LÜ,174.0
8693357335813,420016 HEYBELİ BARDAK 6LI,432.0
8693357033320,42011 ÇAY BARDAĞI 6'LI,106.0
8693357033726,42021-0 ÇAY BARDAĞI 12'Lİ,234.0
8693357054622,42040 LYRIC BARDAK 6LI,60.0
8693357005419,420405 LİNKA BARDAK 3LÜ MOR,222.0
8693357364387,420405 LİNKA BARDAK 3LÜ MOR,222.0
8693357410145,420405 LİNKA BARDAK 3LÜ MOR,222.0
8693357410206,420405 LİNKA BARDAK 3LÜ MOR,222.0
8693357210585,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693357364349,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693357410121,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693357410220,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693357410421,420405 LİNKA BARDAK 3LÜ PEMBE,222.0
8693357339750,420405 LİNKA BARDAK 6LI 380CC,500.0
8693357543041,420405 LİNKA BARDAK 6LI 380CC,500.0
8693357364363,420405 LİNKA BARDAK TURKUAZ,114.0
8693357339774,420415 LİNKA BARDAK 6LI 500CC,580.0
8693357364325,420415 LİNKA BARDAK 3LÜ,222.0
8693357410183,420415 LİNKA BARDAK 3LÜ,222.0
8693357410268,420415 LİNKA BARDAK 3LÜ,222.0
8693357364288,420415 LİNKA BARDAK PEMBE,52.0
8693357364301,420415 LİNKA BARDAK TURKUAZ,52.0
3283840018900,42191 OPTİKLİ&DÜZ CAY BARDAK 6'LI,86.0
8693357287013,42281 ÇAY BARDAĞI,18.0
8693357208957,PAŞABAHÇE 42361 HEYBELI CAY BARDAGI 6LI,250.0
6700000010460,42381 ÇAY BARDAĞI İNCE BELLI 125CC41/4OZ,40.0
8693357075221,42381 ÇAY BARDAĞI İNCE BELLİ 6LI 125CC,234.0
6700000010828,42381 ÇAY BARDAĞI KESME 6'LI,134.0
6700000007545,42381 İNCE BELLİ ÇAY BARDAĞI SADE 6 LI,40.0
6700000011368,42411 ÇAY BARDAĞI SADE SYLVANA,50.0
8693357182295,42451 İREM ÇAY BARDAK 6LI,188.0
8693357524934,42451 İREM ÇAY BARDAK 6LI,188.0
8693357360624,42461 MISI G4U ÇAY BARDAK 6LI,164.0
8693357071773,42471 AURORA CAY BARDAGI 6LI,306.0
8693357310445,42471 AURORA CAY BARDAGI 6LI,306.0
8693357335837,42601 NATURAL ÇAY BARDAĞI 6'LI,174.0
8693357075283,42611 GALATA CAY BARDAK 6LI,304.0
8693357385238,42661 ÇAY BARDAĞI,370.0
8693357028784,42665 METAL KULPLU BARDAK 2'Lİ,256.0
8693357154018,42665 METAL KULPLU BARDAK 2'Lİ,256.0
8693357346581,42665 METAL KULPLU BARDAK 2'Lİ,256.0
8693357098183,42781 INCE BELLI CAY BARDAK OPTIKLI,240.0
6700000004117,42877 İZMİR BARDAK 6LI,36.0
8693357370142,43018 AREL SÜRAHİ DESENLİ,312.0
8693357435742,43018 AREL SÜRAHİ DESENLİ,312.0
8693357339279,43274 SÜRAHİ ŞEFFAF,264.0
8693357295193,43326 BOTANICA VAZO,256.0
8693357295216,43406 BOTANİCA VAZO,190.0
8693357127654,43497 BOTANICA VAZO,376.0
8693357338760,43544 LUNA SÜRAHİ,316.0
8693357338784,43544 SÜRAHİ MOR&YEŞİL&PEMBE,304.0
8693357338807,43544 SÜRAHİ MOR&YEŞİL&PEMBE,304.0
8693357338821,43544 SÜRAHİ MOR&YEŞİL&PEMBE,304.0
8693357075719,43624 KARAF SÜRAHİ,40.0
8693357338845,43654 GORDION SURAHI,354.0
8693357116221,43674 SPACE KANA SURAHI,234.0
8693357320864,43674 SPACE KANA SURAHI,234.0
8693357295155,43726 BOTANİCA VAZO,486.0
8693357333352,43797 BOTANİCA VAZO,40.0
8680041005220,43804 LİMONATA BASKILI ŞİŞE BARDAK,26.0
8693357211032,43934 BISTRO ŞEFFAF KAPAKLI SURAHI,300.0
8693357372481,43934 KANA SURAHI DESENLI,154.0
8693357052581,43966 VAZO FLORA,290.0
8693357180673,43984 HABITAT SURAHI,324.0
8693357295179,43996 BOTANICA VAZO,88.0
8600000114039,440040 VİCTORİA BARDAK 6'LI,700.0
8693357156005,440040 VİCTORİA BARDAK 6'LI,700.0
8693357249134,440113 DIAMOND KADEH 6LI,702.0
8693357313675,440186 DIAMOND KADEH 6LI,610.0
8693357273429,440221 GALA AYAKLI CAY BARDAGI,332.0
8693357320284,440221 GALA AYAKLI CAY BARDAGI,332.0
8693357331976,440410 DONDURMALIK 2LI,128.0
8693357319660,440469 BARDAK SOPHIA OPTICS 3LU,52.0
8693357319684,440479 BARDAK SOPHIA OPTICS 3LÜ,52.0
8693357194274,44134 BİSTRO KADEH 6LI,375.0
8693357007635,44411 BISTRO KADEH 6'LI,410.0
8693357153691,44411 BISTRO KADEH 6'LI,410.0
8693357007574,44417 BISTRO BARDAK 6'LI,396.0
8693357001541,44419 BISTRO BARDAK 3'LÜ,18.0
8693357286238,44757 BARDAK KADEH MAVİ 3'LÜ,344.0
8693357286252,44757 BARDAK KADEH YEŞİL 3'LÜ,344.0
8693357286290,44767 BARDAK KADEH MAVİ 3'LÜ,398.0
8693357286337,44767 BARDAK KADEH MOR 3'LÜ,162.0
8693357161245,44777 DIAMOND 6LI BARDAK,785.0
8693357089365,51418 DONDURMALIK,248.0
8693357277250,51628 ICEVILLE DONDURMALIK 2Lİ,46.0
8693357286054,51638 WORKSHOP DONDURMALIK 2LI,52.0
8693357286078,51638 WORKSHOP DONDURMALIK 2LI,52.0
8693357092518,52052 PAŞABAHÇE SU BARDAĞI ALANYA,158.0
8693357067158,52082 RAYAN BARDAK 6'LI,174.0
8693357153431,52138 ALANYA BARDAK,265.0
