BARKOD,ADI,FIYAT,,,
8697653851138,MENZIR ALIMINYUM SUZGEC NO-5,20,,,
8697448718820,ALKAR BASIK TENCERE 34CM,1450,,,
8698892468651,002 KIRMIZI KOR.BEYAZ EMAYE KUPA,18,,,
8698892468668,ANCEL 003 EMAYE KUPA KOBALT KOR.BEYAZ ,26,,,
3283840021818,10221 GELINCIK KASE 6 LI,6,,,
8693357004696,10221 GELINCIK KASE 6 LI,6,,,
8693357050105,10221 GELINCIK KASE 6 LI,6,,,
3283840024116,10222 GELINCIK KASE,4,,,
8693357004719,10223 GELINCIK KASE TEKLI,4,,,
8693357004726,10224 GELINCIK BOL KASE,2,,,
8693357004740,10226 GELINCIK 6LI TABAK,257,,,
8693357080102,10226 GELINCIK 6LI TABAK,257,,,
8693357175648,10226 GELINCIK 6LI TABAK,257,,,
8693357004757,10227 GELINCIK TABAK TK,8,,,
3283840008994,10228 GELINCIK KAYIK TB,2,,,
8693357004764,10228 GELINCIK KAYIK TB,2,,,
8693357175464,10229 GELINCIK TABAK 6LI,329,,,
8693357004771,10229 GELINCIK TABAK 6LI,329,,,
3283840009861,10232 GELINCIK BUYUK KAYIK,4,,,
8693357004795,10232 GELINCIK BUYUK KAYIK,4,,,
680678016574,10234 ATLANTIS TABAK 6LI,6,,,
8693357016576,10234 ATLANTIS TABAK 6LI,6,,,
680678016550,10235 ATLANTIS COLORA BY TABAK,3,,,
8693357016552,10235 ATLANTIS COLORA BY TABAK,3,,,
8693357010130,10235 ATLANTIS YEMEK TABAGI 6LI,8,,,
8693357016545,10236 ATLANTIS COLORA SERVIS,4,,,
680678016543,10236 ATLANTIS COLORA SERVIS,4,,,
4606065009888,10237 ATLANTIS SERVIS TABAGI TEK,4,,,
8693357016613,10238 ATLANTIS KAYIK TABAK 2LI,2,,,
680678016611,10238 ATLANTIS KAYIK TABAK 2LI,2,,,
8693357010123,10238 ATLANTIS TABAK,2,,,
8693357016620,10239 ATLANTIS COLORA KAYIK BUYUK,2,,,
680678016628,10239 ATLANTIS COLORA KAYIK BUYUK,2,,,
680678016635,10240 ATLANTIS COLORA CEREZ,3,,,
8693357016637,10240 ATLANTIS COLORA CEREZ,3,,,
3283840024499,10241 GELINCIK CEREZLIK 6LI,6,,,
8693357004818,10241 GELINCIK CEREZLIK 6LI,6,,,
680678016581,10248 ATLANTIS KASE 6LI,2,,,
8693357016583,10248 ATLANTIS KASE 6LI,2,,,
8693357010208,10248 PASABAHCE ATLANTIS KASE,2,,,
4606065009833,10249 ATLANTIS KASE TEK,5,,,
8693357010185,10249 PASABAHCE ATLANTIS ORTA KASE,2,,,
8693357016644,10250 ATLANTIS KASE,5,,,
680678016642,10250 ATLANTIS KASE,5,,,
8693357014305,10250 ATLANTIS KASE 6LI,7,,,
4606065009840,10251 ATLANTIS KASE TEK,6,,,
8693357090057,10256 MARINE 6LI CAM TABAK,192,,,
8693357000834,10256 MARINE 6LI TABAK,2,,,
8693357000858,10257 MARINE 6LI,10,,,
8693357090064,10257 MARINE SERVIS TABAGI 6'LI,350,,,
8693357026667,10258 MARINE TABAK,3,,,
8693357019133,10263 MARMARA KASE,4,,,
8693357004498,10263 MARMARA KASE,4,,,
8693357048614,10263 MARMARA KASE,4,,,
8693357000643,10263 MAVI KASE,3,,,
8693357004504,10264 MARMARA SERVIS KASE,8,,,
8693357019157,10264 MARMARA SERVIS KASE,8,,,
8693357048621,10264 MARMARA SERVIS KASE,8,,,
8693357090125,10266 MARMARA PASTA TABAGI 6LI,257,,,
3283840021702,10268 MARMARA 2 LI KAYIK TABAK,2,,,
8693357000698,10271 MARMARA COLORA YEMEK TABAGI,2,,,
8693357004542,10271 MARMARA SERVIS TABAGI 6LI,328,,,
8693357048577,10271 TEMPTATION PASTA TABAGI 6LI,10,,,
3283840021849,10272 MARMARA KAYIK TEK ADET,3,,,
8693357004559,10272 MARMARA KAYIK TEK ADET,3,,,
8693357000711,10272 MAVI KAYIK TABAK 2LI,3,,,
8693357019171,10273 MARMARA SERVIS TABAGI,5,,,
8693357004566,10273 MARMARA SERVIS TABAGI,5,,,
8693357018853,10274 PAPILLION COLORA KASE 6LI,4,,,
8693357018754,10275 PAPILLION KASE,4,3,,
8693357018778,10276 PAPILLION TABAK 190MM,4,85,,
8693357018761,10276 PAPILLION TABAK 190MM,4,85,,
8693357018785,10277 PAPILLON CUKUR TABAK 6LI,7,,,
2700000236857,10277 PAPILLON CUKUR TABAK TEK,1,25,,
8693357018792,10277 RENKLI PAPILLON TABAK,6,,,
8693357018839,10278 PAPILION BUYUK TABAK TEK,3,85,,
8693357018822,10278 PAPILION BUYUK TABAK TEK,3,85,,
8693357018808,10279 PAPILLION TABAK 240MM,6,9,,
8693357018815,10279 PAPILLION TABAK 240MM,6,9,,
8693357018877,10280 PAPILLION KASE 270MM,4,5,,
8693357018860,10280 PAPILLION KASE 270MM,4,5,,
